#logback.classic pattern: %d{HH:mm:ss} [%thread] %-5level %logger{0} - %msg%n
20:40:43 [main] INFO  Application - Указан стандартный пул потоков, executorType = 'STANDARD'
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task157 is started.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task158 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task155 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task159 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task156 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task160 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task158 is completed.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task157 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task161 is started.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task162 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task159 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task163 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task160 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task164 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task161 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task165 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task162 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task166 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task163 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task167 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task164 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task168 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task165 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task169 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task166 is completed.
20:40:44 [Worker-1] INFO  Task - ▶ Task #job549-task170 is started.
20:40:44 [Worker-4] INFO  Task - ✔ Task #job549-task167 is completed.
20:40:44 [Worker-4] INFO  Task - ▶ Task #job549-task171 is started.
20:40:44 [Worker-3] INFO  Task - ✔ Task #job549-task168 is completed.
20:40:44 [Worker-3] INFO  Task - ▶ Task #job549-task172 is started.
20:40:44 [Worker-2] INFO  Task - ✔ Task #job549-task169 is completed.
20:40:44 [Worker-2] INFO  Task - ▶ Task #job549-task173 is started.
20:40:44 [Worker-1] INFO  Task - ✔ Task #job549-task170 is completed.
